Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FGPercent,ThreeP,ThreePA,ThreePPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PlusMinus
46,36,1/20/2023,38-021,LAL,,MEM,W (+1),1,36:32:00,8,21,0.381,1,5,0.2,6,7,0.857,2,7,9,6,2,2,3,4,23,17.6,9
47,37,1/22/2023,38-023,LAL,@,POR,W (+9),1,35:56:00,14,24,0.583,2,7,0.286,7,10,0.7,0,11,11,4,0,2,4,2,37,27.3,17
48,38,1/24/2023,38-025,LAL,,LAC,L (-18),1,32:35:00,16,29,0.552,9,14,0.643,5,5,1,1,7,8,7,2,1,0,0,46,42.5,-14
49,39,1/25/2023,38-026,LAL,,SAS,W (+9),1,35:19:00,8,20,0.4,1,6,0.167,3,4,0.75,1,8,9,11,0,0,6,0,20,13.6,2
50,40,1/28/2023,38-029,LAL,@,BOS,L (-4),1,44:13:00,15,30,0.5,6,12,0.5,5,6,0.833,1,8,9,8,0,0,2,2,41,31.5,1
52,41,1/31/2023,38-032,LAL,@,NYK,W (+6),1,42:56:00,11,25,0.44,2,8,0.25,4,7,0.571,1,9,10,11,1,0,5,2,28,20,22
53,42,2/2/2023,38-034,LAL,@,IND,W (+1),1,32:58:00,11,19,0.579,2,5,0.4,2,2,1,2,5,7,7,0,0,3,1,26,21.5,-4
54,43,2/4/2023,38-036,LAL,@,NOP,L (-5),1,39:37:00,10,22,0.455,1,7,0.143,6,9,0.667,0,9,9,6,0,0,2,2,27,18.5,-5
55,44,2/7/2023,38-039,LAL,,OKC,L (-3),1,33:57:00,13,20,0.65,4,6,0.667,8,10,0.8,0,7,7,3,3,0,4,3,38,30.4,8
59,45,2/15/2023,38-047,LAL,,NOP,W (+18),1,29:13:00,7,14,0.5,0,5,0,7,10,0.7,0,6,6,6,0,1,4,1,21,15.1,14
60,46,2/23/2023,38-055,LAL,,GSW,W (+13),1,26:19:00,5,20,0.25,2,6,0.333,1,2,0.5,3,6,9,8,0,0,2,2,13,7.3,22
61,47,2/26/2023,38-058,LAL,@,DAL,W (+3),1,36:51:00,10,23,0.435,1,6,0.167,5,7,0.714,3,5,8,3,1,1,3,4,26,15.9,0
75,48,3/26/2023,38-086,LAL,,CHI,L (-10),0,29:32:00,6,11,0.545,0,2,0,7,8,0.875,1,7,8,3,0,0,5,2,19,12.4,4
76,49,3/29/2023,38-089,LAL,@,CHI,W (+11),1,31:16:00,10,19,0.526,1,3,0.333,4,4,1,3,5,8,4,2,0,4,2,25,19.3,23
77,50,3/31/2023,38-091,LAL,@,MIN,W (+12),1,32:29:00,7,19,0.368,1,3,0.333,3,4,0.75,1,9,10,6,1,2,3,1,18,13.7,
78,51,4/2/2023,38-093,LAL,@,HOU,W (+25),1,29:21:00,8,18,0.444,1,7,0.143,1,1,1,2,8,10,11,0,1,1,1,18,19.4,23
79,52,4/4/2023,38-095,LAL,@,UTA,W (+2),1,38:28:00,14,27,0.519,3,10,0.3,6,6,1,0,5,5,6,1,1,5,2,37,25.3,-7
80,53,4/5/2023,38-096,LAL,@,LAC,L (-7),1,35:06:00,13,20,0.65,4,6,0.667,3,5,0.6,0,8,8,7,1,1,6,0,33,26.4,-10
81,54,4/7/2023,38-098,LAL,,PHO,W (+14),1,29:21:00,6,19,0.316,3,7,0.429,1,2,0.5,0,6,6,6,0,0,5,1,16,5.3,11
82,55,4/9/2023,38-100,LAL,,UTA,W (+11),1,33:13:00,13,25,0.52,8,14,0.571,2,2,1,1,5,6,6,1,1,2,0,36,29.8,20
